simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd,redshift,mass1_detector,mass2_detector
18144,61537.3559,1494145966.27,5.2869005,0.77166827,302.917085,44.213335,1.9814936,846.9828,10.476958,1.2713628,0.90445727,0.28791937,11.975638,0.15677,0.215519,0.07042,0.044232,32.200992,0.399249,1168.555388,342.776195,0.170288,12.2610582,1.4878606
18153,63456.173,1659931765.45,3.1057097,-0.29152544,177.944058,-16.703177,0.82064867,430.92748,7.6944156,1.3824,0.71797907,0.041631527,11.931651,0.17109,0.070477,0.011178,0.018303,50.045615,0.681747,822.926904,284.185881,0.0911034,8.395403,1.5083413
18155,61374.3142,1480059164.81,2.2450654,0.045796703,128.632772,2.623958,2.6578573,242.72185,10.474319,1.3088387,0.86857593,-0.46217752,11.962409,0.16157,0.149885,0.046033,0.031661,58.403048,0.885264,221.830916,37.220136,0.0526921,11.0262329,1.3778042
18177,63079.9461,1627425761.91,5.6921001,-0.67927709,326.133312,-38.91971,2.4413257,881.27485,8.6355152,1.5379611,0.87140375,-0.1274775,11.840774,0.19181,0.131068,0.014075,0.036078,56.954341,0.76467,967.495285,340.921779,0.1765237,10.1598883,1.8094477
18180,64067.0597,1712712377.62,3.4313131,0.34735817,196.599759,19.902157,1.4054817,280.38769,4.115293,1.3049194,0.27784631,-0.41178986,11.963838,0.16107,0.034715,0.00416,0.011831,48.856631,0.164563,800.41843,243.797274,0.0605333,4.3644053,1.3839105
18202,62934.2427,1614836986.29,3.8483439,-1.172819,220.493864,-67.197579,2.6419604,845.14622,11.387955,1.7711629,0.97337389,-0.19296545,11.592927,0.22561,0.1827,0.005561,0.054177,26.284113,0.877759,829.347293,285.962438,0.1699529,13.323371,2.0721772
18207,61467.109,1488076636.99,0.47251557,1.1655953,27.073148,66.783691,1.4350434,201.50325,13.175838,1.1666766,0.84998935,0.093688503,12.005978,0.1435,0.103035,0.04483,0.017739,70.978977,0.135336,335.200388,73.608343,0.0440158,13.7557831,1.2180288
18222,62713.0763,1595728208.34,1.3034075,0.049530193,74.679749,2.837871,2.7817241,445.296,7.6604567,1.1795524,0.63942295,0.37127495,12.002238,0.14513,0.080992,0.031859,0.015022,27.866374,0.935943,435.210894,132.919399,0.0939612,8.3802424,1.2903846
18226,63316.301,1647846822.2,6.1575742,0.26147007,352.803014,14.981131,0.34553728,207.70984,6.1669321,1.5240843,0.92632931,0.33625087,11.850785,0.18992,0.29171,0.030626,0.087947,58.24178,0.940894,188.293847,61.941004,0.0453288,6.4464717,1.5931692
18227,63585.4061,1671097503.95,3.5864341,-0.42580692,205.487537,-24.396939,2.6958746,765.33065,12.020634,1.3198944,0.88713211,-0.22038148,11.958307,0.16299,0.132737,0.041027,0.027952,30.980727,0.902301,654.86274,164.753235,0.1552783,13.8871776,1.5248454
18231,61244.8781,1468875886.97,3.6730894,0.43480284,210.45252,24.912368,0.37818556,380.23332,18.478924,1.2470658,0.97024268,-0.10081727,11.983817,0.15367,0.216789,0.09338,0.037611,64.193167,0.929336,339.139648,72.27162,0.08094,19.9746081,1.3480033
18234,62165.7389,1548438255.51,5.7130093,1.5324631,327.331321,87.803668,1.5632227,148.62031,12.251587,1.4214939,0.86811423,-0.079852007,11.912467,0.17622,0.07083,0.006396,0.01964,38.358761,0.007574,846.870707,276.602484,0.0327306,12.6525888,1.4680202
18273,62856.6376,1608131910.45,0.93005208,-0.38459071,53.288059,-22.035425,0.80223867,364.04539,4.1072164,1.3799869,0.36902869,-0.090990841,11.933047,0.17078,0.039483,0.000204,0.015694,59.288285,0.695099,512.764913,181.183769,0.0776674,4.4262132,1.4871669
18274,63264.8869,1643404645.68,2.7430238,0.56351862,157.163687,32.287239,1.9675811,345.33542,12.050462,1.4142033,0.86594164,-0.26594022,11.916789,0.17525,0.074952,0.008997,0.020104,29.489865,0.386455,807.902159,244.738086,0.0738679,12.9406043,1.5186675
18301,64315.4171,1734170457.4,1.8527501,-0.033717989,106.154761,-1.931898,2.3449967,128.15106,8.9216137,1.0655267,0.98024255,-0.17146637,12.028148,0.13082,0.475276,0.163085,0.095164,61.735493,0.699145,160.979363,35.100275,0.0283141,9.1742212,1.0956961
18309,62982.5786,1619013207.5,0.74798492,0.64355552,42.856379,36.873015,0.68549558,545.5004,12.126855,1.5829309,0.92992079,-0.12546532,11.805534,0.19801,0.117056,0.009191,0.032892,20.486942,0.774105,574.415421,143.270177,0.1136238,13.5047543,1.7627895
18315,62251.7199,1555867017.58,2.4589333,0.042778478,140.8865,2.451026,3.0041443,649.25818,7.6420908,1.2529875,0.62368947,-0.085489191,11.981886,0.15443,0.055201,0.016082,0.011991,31.293116,0.990569,790.522129,251.311507,0.133523,8.6624857,1.4202901
18327,61765.1351,1513826089.18,2.8958723,0.89531029,165.921261,51.297501,1.9999226,495.90011,3.5755792,1.2576791,0.46023875,0.19447501,11.980157,0.15503,0.119711,0.019183,0.041096,56.109591,0.416076,749.579978,230.031787,0.1039482,3.9472542,1.3884126
18369,62471.2307,1574832753.05,3.5242945,-0.54814841,201.927201,-31.40659,1.1439183,286.58496,2.1730154,1.1061808,0.71328497,0.40506226,12.019803,0.1359,0.307131,0.031008,0.1266,31.124386,0.414031,377.509037,121.728487,0.0618157,2.3073419,1.1745601
18391,62691.1881,1593837074.01,6.0601932,-0.44079261,347.223493,-25.255556,0.50931663,275.24851,18.61013,1.6103374,0.98535407,-0.16796951,11.781674,0.20184,0.154396,0.019186,0.041208,31.433028,0.873078,256.349124,53.872715,0.0594683,19.7168428,1.7061014
18409,61343.9962,1477439693.63,3.0494618,0.11196498,174.721291,6.415121,2.6621881,721.65015,13.054714,1.6138464,0.95938581,-0.3071034,11.77819,0.20234,0.157524,0.018272,0.042452,49.629963,0.88727,557.947711,128.883742,0.1471509,14.9757269,1.8513254
18426,63129.2697,1631687323.02,3.3415099,-0.042585642,191.454414,-2.439978,0.6660738,428.81127,7.2419572,1.356699,0.95826942,0.46346611,11.943661,0.16774,0.379703,0.071219,0.095688,21.511104,0.786254,518.589205,131.420084,0.0906817,7.8986702,1.4797268
18449,63227.2009,1640148578.46,3.4132243,0.52947463,195.563347,30.336662,2.1743606,413.6243,3.7426109,1.5215504,0.72663838,0.48315454,11.852663,0.18957,0.162907,0.002925,0.069382,45.594883,0.567581,778.082744,263.513523,0.0876487,4.0706459,1.6549123
18451,61370.4209,1479722780.58,0.14779255,-1.2130815,8.467889,-69.50445,0.95822496,375.33486,3.7017231,1.5322917,0.79371887,-0.39737612,11.845264,0.19103,0.209783,0.005255,0.089229,69.235426,0.574973,540.738639,160.074723,0.0799511,3.9976799,1.6548001
18462,62805.4138,1603706172.65,5.6199771,-0.71282426,322.000969,-40.841822,1.4210956,291.24423,5.5312495,1.2756743,0.72199422,-0.2412978,11.974156,0.15732,0.172192,0.037303,0.044094,71.237631,0.149142,830.838314,250.860944,0.0627784,5.8784925,1.3557591
18486,62725.8117,1596828545.63,0.2480054,0.43948759,14.209663,25.180784,2.8205678,347.64424,15.718366,1.5952357,0.98634738,0.013301091,11.795165,0.19972,0.227598,0.043204,0.056198,19.954,0.948913,335.689001,92.547187,0.0743377,16.8868332,1.7138219
18499,62168.5132,1548677954.42,0.71698713,-0.8095087,41.080337,-46.381432,0.61503408,433.882,8.2104635,1.3433224,0.88692385,-0.083863638,11.95,0.166,0.227351,0.053956,0.053145,49.3766,0.816754,378.144476,88.513991,0.0916919,8.9632965,1.4664942
18500,62120.2249,1544505846.58,5.8035707,-1.3620899,332.520107,-78.042003,2.4789252,627.0482,5.9461727,1.1413507,0.46144307,-0.4375332,12.012064,0.14031,0.067805,0.028317,0.012293,46.100553,0.788354,737.790368,262.231862,0.1293008,6.7150176,1.2889283
18562,64252.2368,1728711678.52,3.4037634,0.97183424,195.021277,55.682,2.52787,240.27609,4.7933574,1.693406,0.97901827,-0.36003074,11.695868,0.21381,0.396804,0.011022,0.158038,73.92946,0.81751,244.701645,54.093217,0.0521801,5.0434753,1.7817681
18595,64461.6779,1746807390.58,4.8285966,0.31507662,276.658206,18.052561,1.453755,167.27733,17.530817,1.2124356,0.9299224,0.48410103,11.992539,0.1493,0.122758,0.048532,0.022622,43.850242,0.116774,838.734107,293.779955,0.0367322,18.1747625,1.256971
18596,64321.996,1734738874.64,3.890315,-0.94572657,222.89863,-54.186141,3.0954588,475.60234,17.766716,1.5655292,0.97423869,0.45635197,11.819718,0.19559,0.128941,0.014093,0.035002,52.618002,0.998936,378.932262,119.915633,0.0999566,19.5426165,1.7220142
18616,63231.7187,1640538912.87,6.0012764,0.42425875,343.847809,24.308236,2.2436955,455.10236,8.8376856,1.2175533,0.70454985,-0.060149282,11.991997,0.14993,0.07472,0.026801,0.014619,44.182305,0.623256,749.55708,248.542785,0.0959059,9.6852718,1.3343238
18620,61113.0451,1457485511.71,4.8602782,1.0429453,278.473428,59.756364,2.7394136,801.40064,5.029871,1.2401767,0.30790409,-0.17251106,11.984961,0.15281,0.029342,0.007636,0.007304,59.892067,0.92021,813.933826,243.607825,0.1619376,5.8443962,1.4410079
18639,63880.012,1696551457.4,0.45308986,0.62109982,25.960137,35.586398,0.95375452,411.30009,7.3102226,1.2372466,0.59903163,-0.31814578,11.98658,0.15243,0.057091,0.018012,0.012002,34.911101,0.578625,654.034476,215.663489,0.0871836,7.9475541,1.3451142
18645,62123.4911,1544788047.43,0.68346772,-0.32342995,39.159816,-18.531171,0.94664019,621.76262,12.026505,1.2214823,0.8674596,0.20662852,11.994541,0.15038,0.135837,0.0536,0.025064,60.088305,0.584413,723.610347,234.094996,0.1282931,13.5694226,1.3781901
18648,63238.2613,1641104198.44,4.5285088,-0.8562357,259.464442,-49.058692,2.7247785,963.84079,9.5929012,1.3528286,0.77022207,-0.015266974,11.945913,0.16723,0.063174,0.010789,0.015986,56.545742,0.914383,1010.072503,339.01822,0.1913805,11.4287954,1.6117336
18665,61488.4545,1489920889.72,3.2060668,-0.82378051,183.694096,-47.199146,2.9370947,430.92771,4.1948481,1.2411698,0.1207579,0.060878444,11.984681,0.15293,0.016725,0.003174,0.005042,30.419528,0.979163,370.030824,125.966269,0.0911035,4.5770134,1.3542447
