simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
14652,63529.7549,1666289239.82,1.6918959,0.4743733,96.938494,27.179588,2.2109949,242.59941,13.776235,1.8512623,0.51115805,0.024504393,0.0526665,13.776235,1.8512623,13.086989,1.7586408,11.455381,0.23865,0.0,0.0,0.0,32.585287,0.597355,294.503527,52.042081
14653,62076.5145,1540729272.73,1.005173,0.92984905,57.592171,53.276426,2.1404089,616.41556,14.205675,2.0855246,0.35755926,0.26266286,0.1272724,14.205675,2.0855246,12.6018116,1.8500626,-733021261107.125,-0.0,2.459587,0.0,0.664268,61.897736,0.539306,749.298221,273.244223
14654,61093.6443,1455809288.64,1.6014854,1.1450932,91.758354,65.609008,2.2995451,175.94873,19.421505,1.0419465,-0.43531916,-0.23596954,0.0385845,19.421505,1.0419465,18.6999755,1.0032371,12.032593,0.12788,0.0,0.0,0.0,57.983901,0.665937,216.31119,32.19587
14655,62133.4923,1545652156.17,2.7577006,-0.12404341,158.004606,-7.107164,2.3432209,522.15329,9.2319784,1.8255124,-0.35195458,0.15281005,0.1090831,9.2319784,1.8255124,8.3239736,1.6459654,11.508355,0.23425,0.0,0.0,0.0,49.790595,0.697874,613.124206,180.931796
14656,64311.868,1733863814.86,4.6971423,0.71653355,269.12643,41.054348,1.0375987,439.49684,5.9863267,1.8731686,0.04725375,-0.48481098,0.092809,5.9863267,1.8731686,5.4779259,1.714086,11.408472,0.24247,0.0,0.0,0.0,67.927092,0.50829,621.108082,203.108101
14657,61597.4131,1499334913.34,4.1850262,-1.23038,239.784338,-70.495581,0.82571192,551.98781,12.27411,2.1301129,-0.64374804,-0.44556734,0.1148813,12.27411,2.1301129,11.0093425,1.9106186,-15902143259648.0,-0.0,2.379227,0.0,0.647403,18.486365,0.678034,741.719418,263.584189
14658,62955.5436,1616677389.21,0.086291615,0.74756382,4.944145,42.832252,0.50246039,306.15184,11.549768,2.1033399,0.93230826,-0.15776293,0.0658506,11.549768,2.1033399,10.8361978,1.9733909,-3696156313290.5,-0.0,2.314358,0.0,0.63267,55.128,0.8764,326.62243,65.802094
14659,64305.4548,1733309715.52,1.0451006,-0.87372707,59.879854,-50.060874,2.8720099,806.34151,20.087183,2.0800073,0.88670653,0.014980506,0.1628462,20.087183,2.0800073,17.2741528,1.7887209,-346031126363.1875,-0.0,2.776774,0.0,0.748454,68.232045,0.963882,685.277059,135.597045
14660,61030.6789,1450369077.78,0.44606195,-0.071920239,25.557467,-4.120726,2.5348293,848.07216,18.216787,2.1080582,0.26476359,-0.20072553,0.1704867,18.216787,2.1080582,15.5634294,1.80101,-5060414520957.0,-0.0,2.701457,0.0,0.728227,37.979661,0.821498,1243.815357,620.989602
14661,62609.6087,1586788605.87,3.1411289,-0.38700903,179.973429,-22.173984,1.611268,347.07176,17.841721,1.8964403,-0.66991842,-0.059089102,0.0742213,17.841721,1.8964403,16.6089814,1.7654094,11.355492,0.24662,0.0,0.0,0.0,64.152609,0.040461,604.717173,165.05214
