simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
21377,62946.6209,1615906466.77,4.6320322,-1.1074775,265.395896,-63.453787,1.1925539,256.17301,8.0932264,1.3793706,0.67664105,0.41200832,0.0555018,8.0932264,1.3793706,7.6676579,1.3068388,11.933401,0.17069,0.038539,9.2e-05,0.010447,33.036576,0.369288,464.961207,112.510599
21447,61204.5249,1465389366.19,4.6235518,0.92335754,264.910005,52.90449,1.0722117,637.73468,11.975946,1.4371393,0.90532613,-0.47134823,0.1313348,11.975946,1.4371393,10.5856778,1.2703041,11.903915,0.17828,0.124813,0.02582,0.026687,41.438663,0.478183,1006.921754,328.941884
21449,64279.7362,1731087622.77,1.3016806,1.1803625,74.580805,67.62979,1.9862645,398.8325,16.40498,1.0881821,0.95422953,-0.43971619,0.0846837,16.40498,1.0881821,15.1242057,1.0032252,12.023682,0.13365,0.253729,0.136719,0.031538,46.703336,0.403618,842.066469,362.483278
21457,61719.9258,1509920005.59,4.6339751,0.23736207,265.507216,13.599845,0.54760482,583.4567,3.8626134,1.2997311,0.88073587,-0.093845695,0.1209554,3.8626134,1.2997311,3.4458225,1.1594851,11.965716,0.1604,0.347034,0.039586,0.108722,70.371877,0.853774,719.508605,261.509726
21467,62171.3597,1548923897.01,3.6641318,0.10205807,209.939288,5.847497,2.4552677,931.19812,12.997927,1.6467485,0.9635641,-0.44471508,0.1855328,12.997927,1.6467485,10.9637854,1.3890367,11.745972,0.20703,0.159602,0.015291,0.038912,55.070006,0.77358,914.145619,316.566108
21468,63671.1777,1678508174.59,0.33686832,0.025974948,19.301133,1.488255,0.91822237,577.41919,3.4643843,1.6160196,0.90757191,-0.42276803,0.1197933,3.4643843,1.6160196,3.0937712,1.443141,11.776037,0.20265,0.306806,0.001757,0.121573,62.191958,0.607233,868.615295,256.281682
21474,63706.7909,1681585148.87,4.1603028,1.2152634,238.367792,69.629464,2.3461073,620.40934,13.576712,1.1917518,0.80818397,0.15960839,0.1280349,13.576712,1.1917518,12.0357202,1.0564849,11.999097,0.14667,0.04667,0.006874,0.010726,57.189998,0.699938,689.741586,193.97092
21485,61376.2873,1480229640.75,5.5953539,0.71562472,320.590163,41.002276,2.7000711,804.08757,11.981003,1.5700113,0.96039814,-0.21015354,0.1624318,11.981003,1.5700113,10.3068437,1.3506266,11.816,0.19622,0.203747,0.033545,0.045902,51.671067,0.904103,1046.632198,385.839065
21487,62163.6302,1548256063.73,5.4963641,-0.039054385,314.918466,-2.237651,0.83684017,544.74853,9.9088249,1.2908435,0.81117743,-0.32331565,0.113478,9.9088249,1.2908435,8.8989862,1.1592897,11.968884,0.15927,0.106265,0.032536,0.019883,18.954965,0.669812,521.91155,146.202968
21488,64247.8734,1728334676.52,0.76948422,1.0011134,44.088198,57.359573,2.0281102,170.65314,16.485449,1.2677128,0.97356683,-0.086359046,0.0374539,16.485449,1.2677128,15.8902955,1.2219462,11.976883,0.15631,0.264553,0.106235,0.042672,60.678405,0.44154,296.637003,64.668604
21527,63911.7627,1699294717.7,4.1755706,0.017833221,239.242572,1.021768,1.815257,147.01415,11.701978,1.50883,0.88717872,0.11622101,0.032385,11.701978,1.50883,11.3348971,1.4614993,11.861038,0.18785,0.081298,0.003945,0.020859,52.192235,0.242033,238.444847,62.459671
21532,61443.4943,1486036322.29,5.3583581,0.25946546,307.011304,14.866276,0.50990179,530.80047,2.5783288,1.3212159,0.1700315,-0.36273429,0.1107677,2.5783288,1.3212159,2.3212134,1.189462,11.957813,0.16316,0.055088,0.00098,0.021965,37.509422,0.872792,552.111838,195.936664
21555,62377.7667,1566757463.98,0.53971226,0.71997053,30.923235,41.251273,2.7437577,843.98969,8.2148695,1.3278247,0.67329216,0.48672214,0.1697419,8.2148695,1.3278247,7.0228055,1.1351434,11.955366,0.16401,0.045965,0.006598,0.010665,44.235954,0.921902,717.316383,218.811585
21567,64187.7272,1723138045.84,2.6555707,-1.1604168,152.152993,-66.486985,0.52864536,436.8684,4.0770583,1.5490447,0.90038151,0.22535387,0.0922862,4.0770583,1.5490447,3.7325915,1.4181674,11.832266,0.19333,0.30191,0.013049,0.108052,44.325759,0.863491,642.072219,226.249387
21592,63627.3551,1674721901.02,3.1200765,-0.13122032,178.767215,-7.518371,2.3183571,234.10553,8.6579962,1.4571633,0.83594245,-0.063963316,0.0508868,8.6579962,1.4571633,8.2387523,1.3866035,11.892828,0.18094,0.115465,0.017976,0.026469,16.749656,0.679852,335.935984,90.65322
21600,64431.4005,1744191416.89,3.2132997,-0.36004256,184.108511,-20.628919,0.80459762,237.65047,4.6416187,1.6030076,0.80296379,-0.29807621,0.0516301,4.6416187,1.6030076,4.4137371,1.5243075,11.787646,0.20082,0.162747,0.001109,0.057919,19.043375,0.693401,364.427692,100.536222
21607,61342.8688,1477342279.82,5.5993869,-0.49745423,320.821237,-28.502028,2.4110463,832.86552,14.014706,1.6848483,0.96977741,0.20341058,0.1677094,14.014706,1.6848483,12.001878,1.4428661,11.705257,0.21256,0.142998,0.007268,0.036592,53.019952,0.74481,771.762098,285.954493
21628,61268.0036,1470873930.51,2.3715784,0.54143467,135.881433,31.021921,2.4412567,290.35566,15.079368,1.0777521,0.98593563,0.47785676,0.0625949,15.079368,1.0777521,14.1910784,1.0142643,12.02542,0.13235,0.417641,0.201113,0.058361,37.253843,0.764626,263.656266,80.520727
21664,63131.0129,1631837933.87,0.19012736,0.79279892,10.893495,45.424032,0.65219303,611.75663,10.824946,1.2653759,0.84468758,-0.25850958,0.1263822,10.824946,1.2653759,9.6103666,1.1233983,11.977662,0.15601,0.124571,0.042774,0.02205,22.806788,0.794755,681.55854,176.701253
21670,63608.8702,1673124807.39,6.0022238,-0.38930393,343.902091,-22.305472,1.2816566,128.23081,3.1834409,1.3112582,0.74363059,-0.38437387,0.0283314,3.1834409,1.3112582,3.0957345,1.275132,11.961522,0.16188,0.254305,0.0231,0.089063,35.506684,0.285128,168.50428,41.798436
21694,63724.0179,1683073560.35,2.5917954,-0.22499018,148.498938,-12.890988,2.697377,404.13481,6.7472572,1.4212095,0.78441489,-0.2681475,0.0857478,6.7472572,1.4212095,6.214387,1.3089683,11.912652,0.17618,0.136109,0.021727,0.032107,45.657753,0.902948,346.256453,76.393723
21697,63344.2248,1650259441.71,1.671918,-0.16874534,95.793845,-9.668396,2.6859534,404.95725,18.406507,1.2452703,0.98238319,-0.19649243,0.0859128,18.406507,1.2452703,16.9502632,1.1467499,11.98412,0.15345,0.282941,0.122835,0.043154,57.992608,0.89798,382.26184,65.643009
21723,62979.2041,1618721653.91,1.7331278,-0.1945853,99.300908,-11.148916,0.432058,229.37429,7.3674111,1.6023573,0.93318409,-0.21759877,0.0498936,7.3674111,1.6023573,7.0172928,1.5262092,11.788303,0.20073,0.244816,0.022966,0.062844,30.446528,0.908106,210.112751,35.875553
21732,61999.2273,1534051654.87,5.640728,-1.0421519,323.189908,-59.710905,1.7464971,278.94028,3.1832347,1.1526129,0.65170926,-0.20004423,0.0602335,3.1832347,1.1526129,3.0023902,1.0871312,12.008771,0.14174,0.242086,0.037998,0.074789,44.776061,0.174798,483.287531,146.810389
21753,61490.146,1490067029.7,6.0216949,-1.2681078,345.017703,-72.657225,2.0501843,194.77605,7.1400943,1.1501658,0.47184703,-0.18738326,0.0425899,7.1400943,1.1501658,6.8484206,1.1031814,12.009438,0.14143,0.03535,0.015111,0.005482,39.915118,0.461236,356.000008,78.871718
21775,63607.808,1673033031.96,4.7953385,-0.86584253,274.752657,-49.609123,2.2366785,521.61799,2.5161529,1.2951077,0.60559022,0.12951088,0.1089787,2.5161529,1.2951077,2.268892,1.1678382,11.967371,0.15981,0.206011,0.01347,0.07822,54.532104,0.617753,735.49303,213.190311
21779,61143.5828,1460123973.98,3.5373405,0.18978187,202.674681,10.8737,1.0545192,186.57983,2.7473583,1.4467179,0.80529726,0.46414876,0.0408489,2.7473583,1.4467179,2.639536,1.3899403,11.899948,0.17953,0.273331,0.007135,0.10854,24.133565,0.493646,288.181057,79.938746
