simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
2760,63137.7858,1632423107.38,1.1426799,-0.040609134,65.470736,-2.326732,0.66103817,783.26101,6.4077438,1.4629715,0.45350369,0.0021476131,11.88915,0.18171,7.7e-05,0.08151,0.0,23.748859,0.789355,803.473369,182.635319
2761,63079.1202,1627354405.61,5.1636603,0.65679725,295.855942,37.63171,1.3358716,234.05454,5.7127584,1.2904027,-0.96348423,0.04991339,11.96904,0.15921,0.0,0.078458,0.0,21.351595,0.23277,213.00731,44.162236
2762,61569.6876,1496939428.22,1.9014089,0.051910083,108.942705,2.974229,2.2388301,1202.3452,8.2697464,1.7384173,0.93940648,0.038533486,11.639952,0.22055,0.180153,0.073599,0.019964,54.731392,0.619444,1667.883793,503.567241
2763,61331.115,1476326753.24,4.7611539,-0.31635939,272.794024,-18.126058,2.4857503,1458.8965,8.9200897,1.7768062,0.76541135,-0.013996809,11.584802,0.22649,0.0,0.069886,0.0,56.51435,0.792535,1092.344846,387.356249
2764,63970.58,1704376529.02,4.5620655,-0.39187014,261.387099,-22.452505,0.93056897,1196.65,7.4843862,1.7084682,0.88124747,0.049658802,11.677439,0.21605,0.11779,0.065995,0.009961,70.682121,0.597378,1915.723377,623.606764
2765,63545.9113,1667685151.35,5.2403091,0.80288957,300.247595,46.002184,2.0224457,550.13332,6.1514701,1.3802355,0.49032702,0.030157338,11.932903,0.17081,0.018354,0.091682,0.0,30.033404,0.43645,1323.364416,511.498508
2766,64099.6936,1715531943.43,1.7224173,1.1818987,98.687242,67.717807,1.5955383,685.74827,13.74456,1.5130509,0.67568747,0.013088961,11.857248,0.18844,0.0,0.196641,0.0,15.719503,0.024739,1221.506034,362.454657
2767,62467.5351,1574513446.8,5.913131,-0.35691725,338.79745,-20.449852,0.047465905,1026.87,16.167,1.6627651,0.4702806,0.007395024,11.729408,0.20934,0.0,0.181012,0.0,69.934076,0.998874,1041.764678,300.893954
2768,61974.996,1531958073.23,5.9857805,-0.70356674,342.95996,-40.311405,0.16395632,764.508,10.80192,1.5241912,0.95704346,0.0073560621,11.850699,0.18993,0.239798,0.157389,0.014853,48.547417,0.986589,667.004439,160.775417
2769,62339.0156,1563409362.04,0.73616072,1.2554586,42.178902,71.932479,0.54102752,1668.0269,17.405024,1.7492071,0.11165525,0.024419438,11.624636,0.22221,0.0,0.159986,0.0,68.541685,0.85718,1650.969373,496.132255
2770,64376.5764,1739454616.82,1.6267613,0.88864839,93.206557,50.915802,2.8815404,538.22738,7.1259072,1.5516262,-0.82031628,0.027202855,11.830644,0.19368,0.0,0.059641,0.0,33.009798,0.966377,484.572226,131.65549
2771,61872.5242,1523104506.51,5.7406319,-0.38432512,328.91398,-22.020207,2.5386374,2478.5835,13.719382,1.8657785,0.01646441,0.010299324,11.424989,0.24116,0.0,0.08697,0.0,30.390191,0.823663,2291.685963,657.882602
2772,64054.0689,1711589970.58,4.7524582,-1.1200732,272.295797,-64.175467,2.4555403,813.93586,6.3841976,1.6486285,-0.29479726,-0.0088586729,11.744114,0.2073,0.0,0.040982,0.0,21.774324,0.773753,997.370658,316.196658
2773,63750.1235,1685329089.09,5.9605692,-0.37815076,341.515459,-21.666443,2.5910516,712.72107,11.065402,1.5030439,0.82170839,0.02772938,11.865194,0.18707,0.031308,0.161185,0.0,48.854204,0.852242,907.307072,326.074827
2774,61062.671,1453133191.93,2.6138253,-0.9261051,149.761158,-53.061914,0.41636416,946.07226,6.760613,1.6022487,-0.74025733,0.042779873,11.788412,0.20071,0.0,0.047493,0.0,36.378118,0.914565,957.733003,208.020351
2775,63925.0662,1700444140.2,2.6480791,0.27942263,151.723756,16.009737,0.840876,137.83912,6.1139156,1.3673116,-0.18412683,-0.034859068,11.938708,0.16913,0.0,0.082924,0.0,61.659941,0.66681,166.303223,21.719914
2776,63434.7343,1658079459.72,6.0356004,0.65558498,345.81443,37.562252,2.5133018,2104.7583,7.7833865,1.9667852,0.247272,0.03122293,11.146821,0.26056,0.0,0.013039,0.0,55.453108,0.809033,2031.41254,588.910683
2777,61541.3083,1494487453.47,1.4397962,1.3486333,82.494246,77.270996,2.1035457,775.79128,11.045887,1.4526143,0.58235599,-0.048949338,11.895842,0.18033,0.0,0.166435,0.0,48.118972,0.507904,999.420614,343.074654
2778,62928.7562,1614362951.23,3.6806258,1.197044,210.884324,68.585569,2.4441961,1278.4644,21.085471,1.7805805,-0.6688763,0.031501645,11.579043,0.22709,0.0,0.167915,0.0,41.380258,0.766517,1569.913897,528.110485
2779,62765.7509,1600279299.22,2.9905599,1.0698275,171.346461,61.296601,0.75720371,730.88803,13.602921,1.447128,0.89300649,-0.011618092,11.899653,0.17959,0.065866,0.222256,0.0,63.310528,0.72676,712.198915,183.240006
2780,63967.2347,1704087494.27,1.8121954,0.72323027,103.831148,41.438042,2.5028133,1177.9846,7.8618222,1.6870335,-0.47645912,-0.044651102,11.702882,0.21288,0.0,0.051367,0.0,60.928984,0.802824,1234.880667,383.826003
2781,61843.4679,1520594047.12,2.6643905,0.063578924,152.658331,3.642804,2.532585,415.9024,27.108617,1.5156103,0.83188454,-0.046497818,11.855803,0.18878,0.0,0.403996,0.0,40.753333,0.820216,435.15765,63.589452
