simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
1216,64134.9413,1718577345.06,2.8064599,0.66871717,160.798308,38.314672,2.0442213,920.24203,7.2168691,1.6624729,-0.64188096,-0.0021323084,0.1835625,7.2168691,1.6624729,6.0975816,1.4046346,11.72972,0.2093,0.0,0.0,0.0,45.414742,0.455937,1395.043501,447.207317
1218,62987.3508,1619425525.0,5.2947047,-1.0219728,303.364233,-58.554728,1.6185788,630.24822,40.695746,1.7167533,-0.12665436,0.043551848,0.1299104,40.695746,1.7167533,36.0167913,1.5193712,11.666013,0.21731,0.0,0.0,0.0,71.624102,0.047764,2395.029799,654.657673
1219,61496.1578,1490586449.48,3.6176579,0.082904473,207.276529,4.750076,0.71692067,1598.7453,6.5586179,1.8252239,-0.7066817,0.0069191281,0.2993862,6.5586179,1.8252239,5.0474737,1.4046816,11.506184,0.23425,0.0,0.0,0.0,72.696302,0.753833,1645.036494,518.495947
1220,63523.9924,1665791360.15,3.4794439,1.4470445,199.357451,82.909543,1.7005829,1763.3539,18.366389,1.6492021,-0.88093763,-0.037982097,0.3258989,18.366389,1.6492021,13.8520281,1.243837,11.743748,0.20738,0.0,0.0,0.0,21.872968,0.129423,2060.154677,576.077757
1221,63543.6013,1667485573.89,0.62548827,0.18255042,35.837838,10.459369,0.28236461,1890.1829,53.072562,1.8571042,0.52357455,0.029134357,0.3459802,53.072562,1.8571042,39.430419,1.3797411,11.443665,0.23965,0.0,0.0,0.0,56.988852,0.960399,1766.969492,452.809548
1222,62712.406,1595670297.64,5.4243475,0.83234127,310.792218,47.689642,2.6024176,1291.4046,9.7465416,1.7641099,-0.45897307,-0.024873225,0.2483575,9.7465416,1.7641099,7.8074924,1.4131448,11.603509,0.22451,0.0,0.0,0.0,53.708529,0.858133,1143.194073,406.000643
1223,64412.1417,1742527463.77,2.6416485,-0.58390396,151.35531,-33.455233,0.44037086,1169.2009,9.8137468,1.7940928,0.16112379,-0.030404334,0.2274438,9.8137468,1.7940928,7.9952715,1.4616496,11.558147,0.22922,0.0,0.0,0.0,73.323633,0.904594,922.045148,335.01462
1225,62458.595,1573741028.11,0.5805043,-0.15254278,33.260446,-8.740057,0.97476329,653.79901,6.2755031,1.6110426,-0.48436436,-0.014672717,0.1343838,6.2755031,1.6110426,5.5320809,1.4201918,11.781031,0.20194,0.0,0.0,0.0,15.338579,0.561364,773.811456,212.622878
1227,62437.7898,1571943455.1,3.6340918,0.74090516,208.218123,42.450739,0.3168318,2210.5967,9.4466538,1.9082407,0.045529469,0.047775607,0.3955074,9.4466538,1.9082407,6.7693325,1.3674171,11.325351,0.24882,0.0,0.0,0.0,49.819065,0.950227,2390.987256,618.803017
1228,63629.743,1674928210.08,4.4072901,0.26110014,252.519122,14.959936,0.3506787,460.5817,6.3518983,1.3219704,-0.33520265,-0.028140635,0.0969905,6.3518983,1.3219704,5.7902945,1.2050882,11.957532,0.16326,0.0,0.0,0.0,28.551972,0.93914,414.833031,76.174772
1229,63817.1257,1691118080.16,5.0765129,-0.51549204,290.862764,-29.535518,2.4722398,1242.2697,9.1580496,1.6511987,-0.14890647,-0.019002362,0.2399946,9.1580496,1.6511987,7.3855558,1.3316176,11.742857,0.20765,0.0,0.0,0.0,41.739782,0.784223,1177.544619,312.463341
1230,63136.5882,1632319641.95,0.79741697,-0.30913276,45.688627,-17.712002,3.0911295,1408.7607,8.4216967,1.7946556,0.95406789,0.032910879,0.2680942,8.4216967,1.7946556,6.6412232,1.4152384,11.557198,0.22931,0.18736,0.0,0.062616,28.556528,0.998727,1341.826877,412.247594
1231,62427.8748,1571086802.09,3.1072591,0.91928019,178.032832,52.670875,2.4412398,1369.747,23.482108,1.7222855,0.40197683,0.0025063183,0.2615691,23.482108,1.7222855,18.6134139,1.3651931,11.665681,0.21802,0.0,0.0,0.0,65.331078,0.764615,1337.029727,345.637748
1232,64051.8209,1711395739.63,1.0828796,0.06716762,62.044431,3.848421,2.5130578,553.61376,11.101614,1.4077486,0.90762157,0.045586971,0.1151962,11.101614,1.4077486,9.954853,1.2623327,11.919227,0.17441,0.160675,0.039186,0.03888,57.791995,0.80889,567.911816,118.889631
1233,62629.1187,1588474269.79,3.1217993,-0.89454637,178.865924,-51.253732,2.6957595,1236.134,12.534674,1.6498169,0.74285586,-0.046390883,0.238946,12.534674,1.6498169,10.1172073,1.3316293,11.74345,0.20746,0.0,0.0,0.0,54.561132,0.902252,1180.742053,344.208555
1234,62494.0577,1576805005.1,0.48646355,-0.07527731,27.872308,-4.313072,0.78063173,685.69831,10.793174,1.5618143,-0.85542552,0.013839387,0.1404082,10.793174,1.5618143,9.4643078,1.3695222,11.822023,0.19509,0.0,0.0,0.0,70.543492,0.710469,750.817388,151.14423
1235,61301.9822,1473809676.08,0.89854668,-0.29584563,51.482932,-16.950706,0.54628125,1805.5894,9.4388758,1.6313335,0.18138889,-0.039631347,0.3326184,9.4388758,1.6313335,7.0829546,1.2241565,11.761519,0.20482,0.0,0.0,0.0,44.172413,0.854462,1164.554854,396.723983
1236,63336.9505,1649630941.66,0.29063197,-0.76812075,16.651985,-44.010077,2.8915839,1455.4974,9.2254793,1.8315849,0.33209079,0.041507171,0.2758652,9.2254793,1.8315849,7.2307635,1.4355631,11.49352,0.23533,0.0,0.0,0.0,68.969922,0.96891,1389.210826,509.916606
1237,63522.294,1665644618.67,3.7741952,0.31187564,216.245456,17.869158,0.39215804,2422.9411,26.674804,1.9404875,0.56611228,-0.013381038,0.4274785,26.674804,1.9404875,18.6866589,1.3593812,11.235476,0.25505,0.0,0.0,0.0,71.956368,0.924086,1846.644486,521.836175
