simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2_source,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
1232.0,62331.1043,1562725830.25,4.0379021,-0.19925874,231.354748,-11.416685,2.7314431,350.62684,5.7198203,1.3242939,0.31419507,0.057920553,0.0749443,5.7198203,1.3242939,5.3210389,1.2319652,11.992818,0.1517,0.024932,0.00655,0.005016,30.0,0.917061,829.964462,264.11319
1233.0,64370.1689,1738901008.76,1.9884623,1.0394573,113.930498,59.556516,1.057673,520.26423,11.188823,1.2814114,0.93027224,0.42541025,0.1087146,11.188823,1.2814114,10.0917067,1.155763,12.008018,0.14213,0.306655,0.112529,0.04932,30.0,0.490901,652.219294,192.329998
1234.0,63693.0435,1680397378.88,5.972846,0.88117487,342.218867,50.487601,0.46877613,698.89271,2.9895452,1.3529415,0.3822853,-0.12051005,0.1428885,2.9895452,1.3529415,2.6157803,1.1837913,12.00097,0.14567,0.149891,0.020068,0.048416,30.0,0.892122,566.696438,165.18556
1235.0,62902.1959,1612068141.87,5.392545,-1.1741308,308.970069,-67.272739,0.9865139,850.21278,7.3832489,1.4478456,0.5541062,-0.36767581,0.170877,7.3832489,1.4478456,6.3057424,1.236548,11.987199,0.15233,0.067563,0.020867,0.012161,30.0,0.551601,328.832946,71.67676
1236.0,63815.7412,1690998460.29,2.9443812,0.048589404,168.700616,2.783968,2.9725096,535.16493,15.700703,1.6326003,0.94870587,0.17538719,0.1116166,15.700703,1.6326003,14.1242064,1.468672,11.886335,0.18246,0.154938,0.034105,0.030697,30.0,0.985739,541.502126,241.325599
1237.0,61110.2654,1457245351.69,4.6357896,-0.73116657,265.611179,-41.892759,0.31019531,617.84892,12.120969,1.7942589,0.97014046,-0.2432649,0.1275462,12.120969,1.7942589,10.7498651,1.5912953,11.798335,0.19917,0.260504,0.039801,0.056189,30.0,0.952274,419.509367,142.189105
1238.0,62187.5103,1550319304.69,0.74831978,0.80998304,42.875565,46.40861,1.1728931,996.93085,14.12732,1.8572736,0.94998716,0.47323215,0.1972748,14.12732,1.8572736,11.7995637,1.5512509,11.830927,0.19363,0.18429,0.030603,0.039066,30.0,0.387486,560.509178,206.878403
1239.0,61118.9374,1457994606.96,2.2087683,0.77855755,126.553102,44.608062,0.86637779,601.01981,8.4004747,1.8685827,0.93015018,-0.29224993,0.1243272,8.4004747,1.8685827,7.4715567,1.6619563,11.730297,0.20922,0.213813,0.013009,0.054001,30.0,0.647591,565.451806,113.793357
1240.0,63205.8171,1638301016.67,1.898136,-1.1655591,108.755182,-66.781617,0.44294111,858.24915,8.4186252,1.2271479,0.90183112,-0.1276944,0.172341,8.4186252,1.2271479,7.1810379,1.04675,12.031446,0.12848,0.347771,0.118504,0.05835,30.0,0.903495,152.458931,27.968087
1241.0,61762.0221,1513557126.57,0.95470782,-0.45890874,54.700729,-26.293534,1.2216997,282.30355,6.3403055,1.1580155,0.57348838,0.14995192,0.06093,6.3403055,1.1580155,5.976177,1.0915098,12.022843,0.13407,0.124878,0.049751,0.019363,30.0,0.342049,811.354592,259.745444
1242.0,61835.8208,1519933338.56,3.7536395,-0.31959971,215.067701,-18.311715,0.26697018,950.69499,5.6047162,1.6994712,0.83329693,0.22421719,0.1890295,5.6047162,1.6994712,4.7136896,1.4292927,11.909635,0.17722,0.243994,0.02524,0.068819,30.0,0.964575,809.257398,286.151681
1243.0,61679.9514,1506466221.77,2.6513494,0.75223602,151.911131,43.099949,0.31183312,497.14819,5.9408559,1.3464827,0.50807495,0.023325387,0.104193,5.9408559,1.3464827,5.3802694,1.2194269,11.992994,0.15015,0.083399,0.024622,0.015911,30.0,0.951773,209.76974,82.589635
1244.0,61339.4188,1477044202.42,1.5654162,0.86843504,89.691741,49.757663,1.4567901,517.26119,10.607058,1.5323961,0.75653065,-0.00025285883,0.1081286,10.607058,1.5323961,9.5720462,1.3828685,11.931385,0.17116,0.046698,0.001593,0.011478,30.0,0.113759,1067.282074,356.795481
1245.0,61768.8697,1514148756.31,3.1528397,-0.68718219,180.644408,-39.372639,2.1017717,271.39894,3.2591388,1.4828692,0.48945802,-0.1250281,0.0586695,3.2591388,1.4828692,3.0785235,1.4006914,11.923795,0.17347,0.106821,0.003348,0.03864,30.0,0.506375,679.923234,235.144669
1246.0,64412.5058,1742558917.45,2.9710351,-0.63708901,170.227772,-36.502511,2.6920718,488.15637,4.8452968,1.6288223,0.73705065,0.064696496,0.1024276,4.8452968,1.6288223,4.3951155,1.4774868,11.881845,0.18363,0.161576,0.010348,0.050378,30.0,0.900655,725.469167,174.042595
1247.0,61590.6837,1498753488.51,0.8158449,1.1162121,46.74447,63.954242,0.61143755,463.10976,7.0151852,1.2240908,0.69532171,0.40120463,0.0974905,7.0151852,1.2240908,6.3920236,1.1153543,12.017837,0.13705,0.170353,0.060518,0.028181,30.0,0.818824,872.340742,246.857414
1248.0,62852.5254,1607776613.06,0.99068814,-1.0907152,56.762249,-62.493378,1.7953707,540.53735,12.384295,1.384964,0.75845533,-0.10102146,0.1126606,12.384295,1.384964,11.1303442,1.2447318,11.984183,0.15338,0.047022,0.009028,0.009653,30.0,0.222691,1405.131595,440.025641
1249.0,61836.0898,1519956573.33,5.412074,1.3938174,310.088999,79.859854,0.6311178,888.70582,9.3582898,1.578048,0.9308607,-0.43427204,0.1778698,9.3582898,1.578048,7.9450971,1.3397474,11.950827,0.16555,0.308222,0.067977,0.061485,30.0,0.807368,948.940982,305.582063
1250.0,63821.0971,1691461210.81,1.4891788,1.042305,85.32366,59.719677,1.0539518,468.87854,4.6760303,1.5445377,0.48631292,0.47726604,0.0986302,4.6760303,1.5445377,4.2562367,1.4058759,11.920097,0.17417,0.063511,0.00302,0.019965,30.0,0.494139,1034.340638,298.308838
1251.0,64421.4216,1743329242.41,3.4378734,0.49824982,196.975636,28.547612,1.2201592,667.63703,11.636438,1.7186188,0.97347507,-0.37050839,0.1370021,11.636438,1.7186188,10.2343153,1.5115353,11.85842,0.18823,0.315059,0.058289,0.065367,30.0,0.343496,960.962549,339.116436
1252.0,63898.989,1698191065.0,0.63637696,-0.37455717,36.461714,-21.460545,0.51110397,579.70503,7.371719,1.3038655,0.91290995,-0.14324067,0.1202335,7.371719,1.3038655,6.5805202,1.163923,12.006533,0.14316,0.352619,0.090909,0.067228,30.0,0.872205,1207.007265,370.2307
1253.0,63464.5244,1660653329.93,5.7801579,0.45937604,331.178653,26.320308,2.284132,747.78934,10.320592,1.3560246,0.89315846,0.38045495,0.1520229,10.320592,1.3560246,8.9586693,1.1770813,12.003014,0.14482,0.264206,0.090293,0.044207,30.0,0.65436,1009.525385,467.70575
