simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
156	1.9602538	0.69764788	0.23216416	600.41174	1.5771888	1.6649883	-0.041719789	-0.044497388
157	0.13616679	1.1552326	0.590588	806.19144	1.4235318	1.4098856	-0.035738268	-0.034915576
158	3.8528281	0.36127899	0.94861961	629.90888	1.5898173	1.4512502	0.0067428129	-0.043729672
159	5.3488975	0.71424288	0.36999163	543.82445	1.4909291	1.5311976	-0.0010964803	-0.044087982
160	1.2212013	1.3617844	2.3317278	197.64324	1.4828965	1.3063975	0.0035506153	-0.03261293
161	0.85419749	1.200377	0.80267652	826.52323	1.4428047	1.5765773	0.031979563	-0.039023576
162	5.3718585	-0.92466847	2.7143407	623.65425	1.4675088	1.5336152	-0.015910319	-0.033124696
163	4.5540799	1.2205137	1.617918	513.2995	1.6221216	1.4890058	-0.012813108	0.0063772102
164	4.4968548	1.1367265	2.272756	10377.912	3.0949268	3.5005888	-0.018657214	0.026345171
165	0.18559801	0.6751724	2.6178135	694.90282	1.5834339	1.4384102	0.016901245	0.013900865
166	4.9150006	-0.91689547	3.0427611	2213.6204	1.6693789	1.7169179	0.043347656	-0.0047820895
167	3.5914157	1.0817035	0.39030658	638.10002	1.4749941	1.7220644	-0.046912807	-0.0023586993
168	5.7895981	-0.27501469	2.2861707	606.22686	1.4213696	1.5135695	0.034668792	-0.01496684
169	2.6158273	-0.3192832	1.4291389	209.82171	1.4041122	1.4789102	-0.020539198	0.0018866518
170	4.0705484	-0.20064689	1.8122659	3282.1169	1.6824517	2.1453405	0.0090838763	-0.046189558
171	3.3942205	0.33221484	0.48578925	669.35686	1.2588339	1.506157	-0.021701028	-0.014268797
172	3.6881278	-0.58235305	1.6919373	366.49919	1.4924033	1.5627313	-0.047805128	0.0027263744
173	3.6232482	-1.0429928	2.8032567	781.77162	1.6961899	1.5902841	-0.033198346	-0.03982991
174	1.6349989	0.11970944	1.0454228	297.9872	1.3746425	1.4930217	0.0098443374	-0.017204266
175	4.2365082	-0.17916126	1.6323387	298.92318	1.4428212	1.4365631	0.025235414	0.028573919
176	0.48667678	-1.0630781	0.89403531	953.1625	1.6785074	1.530458	-0.016882909	-0.021812431
177	3.6002255	1.1446322	2.4308296	776.65579	1.5796143	1.651815	0.01889072	0.040343228
178	4.3842144	0.00035804523	2.977227	1026.0872	1.6876216	1.4509474	-0.016342334	0.02859134
179	2.7478534	1.166954	2.5033937	475.07098	1.3695754	1.4373387	0.0097231855	0.033242911
180	1.0998779	0.18324504	0.45650245	592.35366	1.4956783	1.5580959	0.040771778	0.034714685
181	4.6476739	0.10130288	0.24157796	875.66559	1.4758545	1.7715822	-0.046745642	0.010189893
182	5.9774252	0.78899703	1.4381473	1042.338	1.8446882	1.6346878	-0.00018609012	-0.045953298
183	3.4069805	-0.25070282	2.3652261	925.48106	1.4736513	1.678918	-0.034621489	-0.035457303
184	5.2268026	-0.20825069	0.49255223	513.52839	1.4919583	1.5185864	0.040226576	0.015902796
185	2.0196435	-0.43051059	0.87644498	974.70365	1.5588468	1.6909692	-0.042664309	0.011502212
186	1.9852744	-1.3361165	2.8482559	1410.4075	1.7533471	1.7761345	0.029163771	-0.044867261
187	3.4307938	0.64122526	2.5600182	707.80286	1.5089291	1.6905396	0.0075662135	-0.0048036099
188	2.8673676	-0.51386321	2.8184629	1166.0718	1.5200068	1.7463665	0.037069982	0.017778346
189	6.0312702	0.49978689	1.2340786	366.51249	1.6067782	1.3804267	0.021916217	0.013001041
190	1.1854649	-0.07989711	2.6738206	926.75751	1.5171551	1.5557781	-0.028304632	0.033928392
191	0.52133984	0.12459066	2.4383925	522.48763	1.5523177	1.4319034	0.040094269	-0.0074097617
192	4.6444601	0.0062160088	1.0770245	1017.7163	1.5582552	1.6768865	0.038272151	-0.002326768
193	1.2222786	0.99177116	2.0137482	627.37287	1.4532666	1.484568	0.015023365	0.023208414
194	0.30862576	0.80514587	1.9557562	322.82656	1.4989469	1.3805851	-0.022456353	-0.033389312
195	3.3250693	0.51664022	2.1316934	278.48738	1.2590157	1.5128897	-0.0054826323	-0.009056878
196	1.9970338	-0.66497616	1.4858735	12438.441	3.4246883	3.5322736	-0.015880368	0.032777877
197	3.7558125	0.38693987	1.3115605	256.20758	1.2642253	1.4852431	-0.037173772	0.0078673117
198	5.0411405	-1.1331709	2.8401796	744.59697	1.6474808	1.4732959	-0.037776548	-0.017153691
199	4.7356542	0.5973757	2.861039	1190.2387	1.5826731	1.7452689	0.04530597	-0.043935577
200	0.49164946	-0.82726102	0.96624213	398.13008	1.6356719	1.554411	0.030311685	0.0032361024
201	1.981707	-0.58903659	0.57356282	471.65937	1.7499772	1.3651406	-0.036077325	0.0077836687
202	0.37590483	0.60940753	1.1075276	663.77661	1.5390549	1.3842581	0.043746717	0.048235246
203	2.4929766	0.51910815	0.46699952	462.30534	1.5153731	1.5181645	-0.010716384	-0.03628728
204	2.7077719	-0.27087169	2.5127141	687.40042	1.5775712	1.4566069	-0.022527936	-0.030285412
205	2.0302906	-0.80946645	1.639288	734.63817	1.343126	1.4904561	-0.013692009	0.028420937
206	4.9980363	0.59401379	0.89392357	195.03285	1.3148183	1.406251	-0.044430631	-0.024966744
207	0.94355497	-0.23686472	0.69719857	216.89774	1.5775765	1.3888065	-0.044685992	-0.049053725
208	1.8344885	1.0093528	0.16937949	1203.9272	1.613661	1.6153329	0.021550348	0.026570438
209	1.2138507	0.8908627	2.5951844	457.93277	1.3802475	1.37368	0.031003711	-0.0027434687
210	4.6834901	0.72966233	0.15419328	1477.5955	1.6130062	1.7485397	0.036917364	-0.014788534
211	3.098499	-0.37175419	0.65159435	343.67599	1.4777879	1.4478203	0.038900455	-0.043624044
212	2.9154949	0.070592939	2.557693	289.26952	1.3828628	1.3433312	0.021735629	-0.04941734
213	2.4031143	0.96183172	0.91869251	13139.5	3.5324977	3.432931	-0.00082503365	0.0053052002
214	5.8301885	-0.5497207	0.99415863	639.32483	1.5015275	1.5435291	0.0070556726	-0.042767269
215	2.4309434	-0.070334479	0.65541865	918.9289	1.7718468	1.4567384	0.011234619	0.044471469
216	2.1270545	-1.3705717	2.8272376	1631.1154	1.6131229	1.5950871	0.015339372	-0.0032259926
217	1.4056076	0.38842116	0.48351293	628.31262	1.6453269	1.5473334	-0.045333362	0.0158704
218	2.7160386	0.60887332	0.86566507	703.18794	1.608315	1.4776606	-0.047376285	-0.044992194
219	0.12577348	1.1184857	2.384295	618.40194	1.469865	1.3915177	0.031967936	-0.012890193
220	1.4549246	0.24253691	0.6855619	558.87952	1.3438295	1.4787859	0.0337149	-0.027538558
221	3.7300539	0.32409469	2.541009	848.92241	1.7566594	1.4389286	0.02822256	0.021512056
222	4.4135718	0.95865889	0.43723797	437.88834	1.535515	1.2573417	0.0090048354	-0.028515599
223	1.2100719	-1.2786817	1.0607187	592.88931	1.4790193	1.5318353	-0.037470909	0.018782991
224	4.031471	0.34390534	2.1021455	547.67258	1.5579404	1.5397115	-0.00093329315	0.0032167656
225	3.5367413	0.79044241	0.85950457	674.07484	1.6706433	1.3183432	-0.018575555	0.0035287475
226	3.1511528	0.73537123	1.1108201	524.86416	1.5357168	1.5000326	-0.018739019	-0.010904028
227	5.5954605	1.3321121	0.60940499	542.92656	1.5135848	1.3667964	-0.012378166	0.0038720063
228	4.9835796	-0.93989845	1.4896516	483.92976	1.4476563	1.4501962	-0.015429258	-0.016816666
229	5.7147301	-0.044020889	2.4526001	845.37691	1.6006523	1.4620953	0.047848611	-0.027123828
230	1.2575132	0.19767047	0.93761341	400.57757	1.4194747	1.3684281	0.0072140231	-0.042298512
231	2.9030363	0.33186676	0.51506374	476.56645	1.5081448	1.4159964	0.013034416	0.030389558
232	5.6076887	-0.14047514	0.67897107	454.60839	1.4504821	1.3973299	0.038362854	-0.0081297525
233	4.3114984	-0.62837488	2.6095669	286.80784	1.4440214	1.5103122	-0.010976041	0.040414873
234	3.4314621	-0.51295783	2.2632882	385.1159	1.4094372	1.3399068	-0.041511078	-0.0071911459
235	3.8694162	-0.84721878	0.74513939	496.63119	1.3635211	1.5072833	-0.0079779551	0.046098793
236	1.3110338	-0.68109908	0.70043087	746.1009	1.4841393	1.5264037	0.034490914	-0.049814906
237	0.83811952	0.60308843	0.028362409	660.71046	1.5954862	1.3537474	-0.038754565	0.023714105
238	1.1488825	0.64815062	2.4018749	467.20433	1.3673481	1.3404387	0.011756505	0.0048374253
239	0.33067654	0.027722878	0.56521328	789.94707	1.5654428	1.498641	-0.021347508	-0.0059666386
240	2.1471066	-0.9625216	2.6107434	1475.886	1.8072564	1.6555334	0.03391916	0.033359457
241	0.88933544	-0.7960911	2.4290075	491.75943	1.5915264	1.4475331	0.0057517098	0.030954623
242	3.1038789	0.51002878	2.576237	366.45986	1.5491891	1.2343782	0.02650469	-0.032096529
243	4.846853	-1.5120291	0.98743065	285.99471	1.4130819	1.5859742	-0.044311282	0.030018811
244	4.0044558	-0.34932314	2.5227178	464.56523	1.4083349	1.3677846	-0.015594678	-0.016051535
245	5.4543809	0.096667931	1.3107881	389.57784	1.3878045	1.3872379	-0.035691328	-0.008012031
246	0.51256723	0.50564658	2.1084968	446.98579	1.4436479	1.5470573	0.019609172	0.044359696
247	5.3519914	-0.29885894	0.53519597	488.45449	1.5346794	1.4482451	-0.0084923253	-0.0021113709
248	3.2040593	1.1657867	0.25601211	847.09236	1.7391325	1.4770832	-0.043964542	0.011464582
249	5.6595275	0.47928397	2.1792959	329.71287	1.3955034	1.5481813	0.035550411	0.040503075
250	0.63903919	-1.1063143	0.13695317	1239.7511	1.6059607	1.7266195	-0.020515202	0.040489325
251	0.83981345	-0.2723871	2.8725667	809.10867	1.4356209	1.5763902	0.024279798	0.009560459
252	5.4835346	1.0148018	2.3213761	756.8469	1.6757795	1.5425125	0.045439443	-0.041631588
253	5.6664008	-0.73761495	2.9139666	179.76953	1.3973919	1.3583585	0.045402958	-0.02742169
254	4.7270539	-0.16557062	2.3047972	181.81388	1.4195424	1.3823707	-0.032984564	-0.041912217
255	4.2878765	0.42958903	0.048676676	1271.7629	1.6740747	1.594393	-0.012753288	-0.015286441
256	2.2996409	0.67215191	2.2035469	731.80044	1.4394417	1.3375081	-0.039944939	-0.038390708
257	4.7611751	0.065408248	2.856042	322.74608	1.315195	1.3254787	0.0088376633	-0.012135578
258	5.7500315	-0.004373339	1.9435364	250.21652	1.4070294	1.336087	-0.028760291	0.025558403
259	2.0712658	0.71327951	0.71142627	507.0537	1.3337106	1.3543904	0.031996414	-0.013289801
260	4.6217538	1.0408177	2.465213	786.36266	1.6653293	1.5774951	-0.04016226	-0.027710434
261	4.7259967	-0.16394093	2.6682302	801.15459	1.4241427	1.6768387	0.017686934	0.0058708569
262	0.76380595	0.18000085	1.8719496	294.34312	1.3230802	1.3728841	0.045899165	0.014644833
263	5.6923055	0.014588209	2.9977902	790.89863	1.3903947	1.5867538	-0.0402508	-0.035702901
264	3.4967618	0.14883993	2.238471	1091.5621	1.6276108	1.8390822	0.041726021	-0.042141404
265	5.6202367	-0.11770566	0.29285203	1344.1152	1.5222063	1.4662379	0.0087194868	0.03173063
266	4.2405911	-0.39283841	2.3632611	774.43325	1.5283547	1.5703104	-0.015499647	0.022821287
267	3.2421836	0.69666885	3.0474521	1129.5863	1.6860888	1.598125	-0.045901743	-0.033468578
268	5.7721017	-0.38747946	0.9992799	439.02223	1.5925966	1.4379157	0.0010612105	0.047904155
269	1.8148269	-0.5048804	1.6084017	266.61995	1.3575064	1.3842558	-0.037430047	0.041805712
270	2.9599966	0.92772345	0.16433975	424.16046	1.4008882	1.3027992	-0.034151647	0.024604137
271	5.8441969	-0.11301474	0.37895069	919.94489	1.5613414	1.6213077	-0.046621228	-0.044815825
272	3.5520778	-0.51312455	0.76890648	741.06832	1.5343397	1.3674949	-0.0011834272	0.023773109
