simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius1,radius2,compactness1,compactness2,mej_dyn,mej_wind,mej_total,phi,costheta,distmean,diststd
62,63713.3542,1682152219.27,5.7932387,-0.70698433,331.928127,-40.507218,1.6944828,249.28188,1.2939995,1.2587047,-0.0095442799,0.047109065,0.0540637,1.2939995,1.2587047,1.2276293,1.1941448,11.967766,11.979813,0.15967,0.15516,0.002107,0.046649,0.048756,64.06712,0.123371,444.53789,152.106298
63,61820.4896,1518608719.44,2.5716602,0.88136944,147.345276,50.498749,0.44577934,669.98543,1.7106529,1.6140658,-0.0053095122,0.0096325793,0.1374457,1.7106529,1.6140658,1.5039425,1.4190267,11.675121,11.777967,0.21637,0.20237,0.004297,0.002798,0.007095,27.810682,0.902275,637.947875,157.013036
64,62207.7931,1552071742.64,5.6886937,1.3958371,325.93814,79.975575,2.1528602,784.22467,1.6567793,1.4783194,0.047251434,0.010039293,0.1587723,1.6567793,1.4783194,1.4297712,1.2757635,11.736079,11.881378,0.20847,0.18374,0.003924,0.04665,0.050574,45.351162,0.549749,1294.803582,307.459248
65,61105.3636,1456821828.96,4.3717974,-0.41336165,250.48554,-23.683878,2.0776688,145.683,1.4642051,1.2737686,-0.030193093,0.0095786906,0.0320985,1.4642051,1.2737686,1.418668,1.2341541,11.888524,11.97481,0.18188,0.15708,0.002858,0.058291,0.061149,65.442182,0.485445,187.44167,41.966346
67,64365.2231,1738473696.95,4.7052079,-0.098321887,269.588554,-5.633429,2.8689112,933.45201,1.6695235,1.565715,0.029809331,0.046201513,0.1859376,1.6695235,1.565715,1.4077667,1.3202339,11.722731,11.819585,0.21031,0.19562,0.003978,0.024863,0.02884,58.968093,0.963052,989.587879,334.299162
68,63337.5377,1649681672.99,2.8842017,-0.62290109,165.252585,-35.689604,0.67594119,685.304,1.6064088,1.4931088,0.024224658,0.036895791,0.140334,1.6064088,1.4931088,1.4087179,1.309361,11.784549,11.870893,0.2013,0.18574,0.003547,0.049147,0.052693,47.534232,0.780118,754.696493,282.594248
69,64266.2178,1729919636.54,5.264589,-0.13011912,301.638731,-7.455276,1.9897103,589.39499,1.5550871,1.4407852,-0.048744187,0.040787333,0.1220969,1.5550871,1.4407852,1.3858759,1.2840114,11.827143,11.902708,0.19417,0.17875,0.003239,0.044405,0.047644,50.420861,0.406769,1134.709837,332.208244
71,61929.2374,1528004531.61,5.093636,-0.46150996,291.843845,-26.442573,2.7323746,998.57935,1.6808623,1.6350202,0.031674909,0.043804656,0.1975676,1.6808623,1.6350202,1.4035637,1.3652843,11.710405,11.757629,0.21196,0.20535,0.004158,0.008101,0.012259,45.501633,0.917432,865.779046,230.8231
72,63140.1226,1632625014.03,5.8901188,-1.0422688,337.478948,-59.717603,2.3472769,970.27009,1.6628781,1.5334254,0.0073291442,0.047601029,0.1925284,1.6628781,1.5334254,1.3944138,1.2858607,11.729291,11.844547,0.20936,0.19118,0.003922,0.011161,0.015083,32.852907,0.700773,1164.765093,339.423684
73,63374.7499,1652896808.41,1.6106473,-0.94189716,92.283293,-53.966732,0.48051984,667.00344,1.5238815,1.4897321,0.00028958336,-0.016492715,0.1368824,1.5238815,1.4897321,1.3404038,1.3103661,11.850948,11.873386,0.18989,0.18528,0.003146,0.024756,0.027902,48.90132,0.886755,599.513428,158.259769
75,62111.424,1543745447.36,0.27226585,0.07745962,15.599684,4.438109,2.7225028,521.59717,1.5326753,1.4067828,-0.008902227,-0.0045424643,0.1089746,1.5326753,1.4067828,1.3820652,1.2685437,11.84503,11.919649,0.19108,0.17429,0.003117,0.018864,0.021981,56.333118,0.91346,483.472775,139.590182
76,63968.3823,1704186650.67,3.1433295,0.43418349,180.099514,24.876882,2.9929583,425.66635,1.5732741,1.453836,-0.02225997,-0.015644036,0.0900546,1.5732741,1.453836,1.4432985,1.3337277,11.812958,11.895058,0.19667,0.18049,0.003344,0.030285,0.033629,67.399375,0.988974,345.460536,118.066942
77,64315.0651,1734140044.38,2.1966371,0.31428303,125.858035,18.007091,0.073094225,367.47938,1.577361,1.3532881,-0.021824089,-0.04268808,0.0783627,1.577361,1.3532881,1.462737,1.254947,11.809815,11.945641,0.19724,0.16729,0.003541,0.036159,0.039701,53.177481,0.99733,307.573538,56.486299
78,64096.9929,1715298605.59,4.4774684,0.54934635,256.540042,31.475227,0.3786023,458.53077,1.6074004,1.481561,0.0010769128,-0.04111226,0.0965847,1.6074004,1.481561,1.4658242,1.3510684,11.783843,11.879252,0.20144,0.18418,0.003552,0.024847,0.0284,60.667292,0.929182,418.313369,76.302289
79,63586.7344,1671212271.52,3.1900581,-1.2925824,182.776866,-74.059516,1.5065925,124.46144,1.3926598,1.3637634,-0.038297897,-0.034630133,0.0275151,1.3926598,1.3637634,1.3553668,1.3272442,11.927535,11.940138,0.17242,0.16867,0.002506,0.060999,0.063505,24.604298,0.06416,406.090066,151.60551
80,61971.1264,1531623737.15,2.2933055,0.47677426,131.396726,27.317153,0.085611234,934.97224,1.7860966,1.4560837,-0.016234449,-0.020167856,0.1862106,1.7860966,1.4560837,1.5057163,1.2275086,11.570472,11.893573,0.22796,0.18079,0.00573,0.012613,0.018342,42.693448,0.996338,963.937813,375.982089
81,61985.6561,1532879109.13,4.3969779,-0.29969775,251.928276,-17.171416,2.0407824,246.16822,1.3888783,1.3218259,0.016015093,-0.038807499,0.053413,1.3888783,1.3218259,1.3184556,1.2548031,11.928533,11.957585,0.17194,0.16324,0.002446,0.032373,0.034819,15.559897,0.452874,542.75759,189.849742
82,64371.7611,1739038578.9,3.0377629,1.142181,174.050993,65.442151,0.65178005,648.37843,1.4745124,1.4508562,-0.039624176,-0.018468861,0.1333562,1.4745124,1.4508562,1.3010141,1.2801415,11.883351,11.896988,0.18324,0.18009,0.002903,0.043997,0.046899,29.800732,0.795005,651.721949,168.016975
85,61035.9957,1450828449.57,2.8854634,-0.44592625,165.324875,-25.549692,1.4954367,522.3571,1.453425,1.4188946,-0.010779153,-0.042593597,0.1091228,1.453425,1.4188946,1.3104274,1.2792944,11.895322,11.914224,0.18043,0.17587,0.002777,0.024342,0.027119,58.587703,0.075288,937.103101,270.070206
87,63506.1749,1664251929.91,4.9998883,0.13156479,286.472498,7.538107,2.0790728,235.43173,1.4192434,1.3091362,-0.014921454,0.02232705,0.051165,1.4192434,1.3091362,1.3501624,1.2454146,11.913988,11.9623,0.17591,0.16161,0.002562,0.059764,0.062326,74.508597,0.486672,373.861306,80.66069
88,63471.8616,1661287257.56,5.4568462,1.2509321,312.654257,71.67313,0.96921259,782.55203,1.6188886,1.5259271,-0.012548526,0.023309779,0.1584635,1.6188886,1.5259271,1.3974446,1.3171991,11.773142,11.849293,0.20306,0.19017,0.003637,0.014069,0.017706,20.950686,0.565949,982.859201,330.64485
89,63179.4134,1636019735.18,4.3508961,0.75817656,249.287984,43.440317,0.73414287,502.24745,1.4867765,1.4681556,0.0061670048,0.044295987,0.1051925,1.4867765,1.4681556,1.3452647,1.3284161,11.875481,11.886599,0.18488,0.1824,0.002977,0.065142,0.068119,39.089659,0.742405,697.84466,274.246266
